location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
Nitturu,14,4,9,40.5069688,,134.44444444444446,13.3263781,76.8449256,12,1.1666666666666667,1.8999999999999986,100.0,9.719999999999995,54.68333333333334,57.07,add_incremental_charging_capacity
Allipura,12,0,12,185.7659169,,152.16666666666666,15.1576976,76.8711606,10,1.2,2.099999999999998,100.0,9.359999999999992,55.13333333333333,57.06,add_incremental_charging_capacity
Bettadapura,13,1,12,92.98497366,,91.66666666666667,12.467808700000003,76.1001823,11,1.1818181818181819,2.0,100.0,9.29,55.13333333333333,57.03,add_incremental_charging_capacity
Tikota,51,15,36,21.22411506,20.0,110.0,16.8388603,75.5181642,40,1.275,2.049999999999997,100.0,16.029999999999987,45.4,56.96,add_incremental_charging_capacity
Avanti,34,0,34,58.81975092,,67.29411764705883,15.0269902,75.1964645,33,1.0303030303030303,1.0,100.0,6.720000000000001,58.43333333333334,56.96,add_incremental_charging_capacity
Bennur,12,0,12,150.6899819,,110.0,15.5073831,76.7464859,8,1.5,2.0,100.0,8.96,55.13333333333333,56.92,add_incremental_charging_capacity
Lingapura,12,0,12,175.7366071,,220.0,15.296198600000002,76.3222916,9,1.3333333333333333,2.0,100.0,8.96,55.13333333333333,56.92,add_incremental_charging_capacity
Virajpet,12,0,12,85.58385014,,60.5,12.201107900000002,75.8137792,8,1.5,2.0,100.0,8.96,55.13333333333333,56.92,add_incremental_charging_capacity
Harave,11,1,10,107.7628219,,66.0,11.9355396,76.8176253,9,1.2222222222222223,2.0,100.0,9.13,54.833333333333336,56.9,add_incremental_charging_capacity
Nippani,25,13,12,54.47374825,19.23076923076923,110.0,16.4020915,74.3977847,16,1.5625,3.0,100.0,17.25,43.4,56.89,add_incremental_charging_capacity
Yallammanawadi,29,18,11,53.78317466,17.77777777777778,110.0,16.6919228,75.2266646,23,1.2608695652173914,2.0,100.0,14.82,46.64999999999999,56.85,add_incremental_charging_capacity
Besegarhalli,11,0,11,37.10814747,,94.0,12.655865,77.0071368,9,1.2222222222222223,2.0,100.0,8.88,54.983333333333334,56.85,add_incremental_charging_capacity
Anavatti,11,0,11,34.52242537,,110.0,14.573886999999997,75.1581152,9,1.2222222222222223,2.0,100.0,8.88,54.983333333333334,56.85,add_incremental_charging_capacity
Bellary North,18,4,14,184.4837171,,117.85714285714286,15.1595252,76.9452893,16,1.125,1.5,100.0,8.44,55.43333333333334,56.81,add_incremental_charging_capacity
Chowdanakuppe,10,0,10,26.429641660000005,,158.4,12.8654871,77.1093487,8,1.25,2.0,100.0,8.8,54.833333333333336,56.79,add_incremental_charging_capacity
Siruguppa,10,0,10,132.9676957,,110.0,15.631338500000002,76.9198875,7,1.4285714285714286,2.0,100.0,8.8,54.833333333333336,56.79,add_incremental_charging_capacity
Bhoruka,9,0,9,66.09385304,,80.66666666666667,16.4215248,74.8751834,7,1.2857142857142858,2.0,100.0,8.72,54.68333333333334,56.72,add_incremental_charging_capacity
Korwar Temple,7,1,6,51.26632582,,110.0,17.3369394,77.0852615,4,1.75,2.0,100.0,8.81,54.233333333333334,56.64,add_incremental_charging_capacity
Meghalapura,27,2,25,79.47106388,,66.0,12.2522118,76.8198995,26,1.0384615384615385,1.0,100.0,6.66,57.083333333333336,56.6,add_incremental_charging_capacity
Hattaragi,29,14,15,23.74109187,17.857142857142858,110.0,16.1418516,74.5159197,21,1.380952380952381,2.0,100.0,13.82,47.050000000000004,56.6,add_incremental_charging_capacity
Chincholi,7,0,7,76.6079894,,110.0,17.4419795,77.4255338,5,1.4,2.0,100.0,8.56,54.38333333333333,56.59,add_incremental_charging_capacity
Chowdapur,7,0,7,59.94100003,,125.71428571428571,17.2320026,76.55186919999998,5,1.4,2.0,100.0,8.56,54.38333333333333,56.59,add_incremental_charging_capacity
Hoskote,34,0,34,11.89050436,,66.0,13.0722055,77.7887654,28,1.2142857142857142,2.0,95.12403488,10.72,58.43333333333334,56.41,add_incremental_charging_capacity
Kallusadarahalli,3,3,0,80.79153671,,,13.473233900000002,76.2538785,2,1.5,1.95,100.0,8.79,53.333333333333336,56.41,add_incremental_charging_capacity
Surya City,4,0,4,14.86175448,,66.0,12.7922189,77.7011733,2,2.0,2.0,100.0,8.32,53.93333333333334,56.4,add_incremental_charging_capacity
Bukkapattana,5,3,2,76.09800805,15.0,66.0,13.6491007,76.7416571,4,1.25,1.8499999999999996,100.0,8.549999999999999,53.63333333333333,56.4,add_incremental_charging_capacity
Hidakal,13,9,4,73.07866405,18.88888888888889,110.0,16.4539067,74.9405671,9,1.4444444444444444,3.1999999999999993,100.0,16.089999999999996,42.95294117647059,56.37,add_incremental_charging_capacity
Seelanere,3,2,1,44.76859624,,66.0,12.6365854,76.551506,2,1.5,1.95,100.0,8.54,53.483333333333334,56.36,add_incremental_charging_capacity
Guruvayanakere,2,2,0,48.85351837,,,12.9904997,75.2442092,1,2.0,2.0,100.0,8.66,53.333333333333336,56.36,add_incremental_charging_capacity
